;sentence1_DE;sentence2_DE;gold_label;sentence1;sentence2
1318;Baustellen und andere Arbeitsstellen müssen so abgesichert werden, dass keine Unfallgefahr besteht.;Baugruben, Kanäle, Schächte und andere Arbeitsstellen sind so abzusichern, dass keine Unfallgefahr besteht.;inconsistent;Construction sites and other workplaces must be secured in such a way that there is no risk of accidents.;Excavations, channels, shafts and other work sites must be secured in such a way that there is no risk of accidents.
1319;Der Auftragnehmer hat seinem Arbeitspersonal die erforderliche Persönliche Schutzausrüstung in ausreichender Stückzahl zur Verfügung zu stellen.;Der Auftragnehmer hat seinen Mitarbeitern eine geeignete persönliche Schutzausrüstung in ausreichender Menge bereit zu stellen.;neutral;The Contractor shall provide its working personnel with the necessary personal protective equipment in sufficient quantities.;The Contractor shall provide its employees with a sufficient quantity of suitable personal protective equipment.
1320;Um ein beabsichtigtes Übergleiten in eine Arbeitnehmerüberlassung und die nicht gewollte Übernahme der Verantwortung als Quasi-Vorgesetzter auszuschließen, sollte der Auftraggeber darauf achten, dass Weisungen jeglicher Art grundsätzlich nur an den Aufsichtführenden der Fremdfirma zur Weitergabe an seine Mitarbeiter zu richten sind, ausgenommen bei „ Gefahr in Verzug “.;Um ein unbeabsichtigtes Übergleiten in eine Arbeitnehmerüberlassung und die nicht gewollte Übernahme der Verantwortung als Quasi-Vorgesetzter auszuschließen, sollte der Auftraggeber darauf achten, dass Weisungen jeglicher Art grundsätzlich nur an den Aufsichtführenden der Fremdfirma zur Weitergabe an seine Mitarbeiter zu richten sind.;inconsistent;"In order to prevent an intentional transition to a temporary employment agency and the unintentional assumption of responsibility as a quasi-superior, the client should ensure that instructions of any kind are only addressed to the supervisor of the external company for passing on to his employees, except in the case of ""imminent danger"".";In order to prevent an unintentional transition to temporary employment and the unwanted assumption of responsibility as a quasi-superior, the client should ensure that instructions of any kind are only addressed to the supervisor of the external company for passing on to his employees.
1321;Vor dem ersten Einsatz eines Gefahrstoffes muss das Sicherheitsdatenblatt bei der Sicherheitsfachkraft vorliegen.;Vor dem ersten Einsatz eines Gefahrstoffes muss das Sicherheitsdatenblatt vorliegen.;inconsistent;Before using a hazardous substance for the first time, the safety data sheet must be submitted to the safety officer.;The safety data sheet must be available before a hazardous substance is used for the first time.
1322;Sämtliche Änderungen am Produkt und in der Prozesskette werden vom LIEFERANTEN in einem Produktlebenslauf dokumentiert.;Sämtliche Änderungen am Produkt und in der Prozesskette, sind in einem Produktlebenslauf zu dokumentieren (z. B. nach dem aktuellen VDA-Band 2 „ Sicherung der Qualität von Lieferungen “).;neutral;All changes to the product and in the process chain are documented by the SUPPLIER in a product life cycle.;"All changes to the product and in the process chain must be documented in a product life cycle (e.g. in accordance with the current VDA Volume 2 ""Ensuring the quality of deliveries"")."
1323;Hubarbeitsbühnen dürfen nur von eingewiesenen Personen benutzt werden.;Hubarbeitsbühnen dürfen nur von ausgebildeten und betrieblich beauftragten Personen bedient werden.;contradiction;Aerial work platforms may only be used by trained personnel.;Aerial work platforms may only be operated by trained and authorized persons.
1324;Damit sich Mitarbeiter verschiedener Auftragnehmer an der gleichen Arbeitsstelle in ihrer Ausführung nicht gegenseitig gefährden oder behindern, ist vor Arbeitsaufnahme eine gegenseitige Abstimmung unter Einbeziehung des Koordinators (wird vom Auftraggeber bestimmt und bekanntgegeben) herbeizuführen.;Damit sich Mitarbeiter verschiedener Auftragnehmer an der gleichen Arbeitstelle in ihrer Ausführung nicht gegenseitig gefährden oder behindern, ist vor Arbeitsaufnahme eine gegenseitige Abstimmung unter Einbeziehung des Koordinators herbeizuführen.;neutral;To ensure that employees of different contractors at the same work site do not endanger or hinder each other in their work, mutual agreement must be reached with the involvement of the coordinator (to be determined and announced by the client) before work commences.;To ensure that employees of different contractors at the same work site do not endanger or hinder each other in their work, mutual agreement must be reached with the involvement of the coordinator before work commences.
1325;Bei der Ausführung von Schweiß- Schneid- Löt- Auftau- und Trennschleifarbeiten ist zwingend ein Erlaubnisschein vorgeschrieben.;Zur Ausführung von Schweiß-, Löt-, Schneid- und Trennschleifarbeiten benötigen Sie einen von der Mustermann AG ausgestellten Erlaubnisschein.;inconsistent;A permit is mandatory when carrying out welding, cutting, soldering, thawing and abrasive cutting work.;You require a permit issued by Mustermann AG to carry out welding, soldering, cutting and abrasive cutting work.
1326;Die Erstbemusterung umfasst auch den Nachweis der auf der Zeichnung angezogenen Prüfvorschriften und Spezifikationen.;Die Erstbemusterung umfasst ebenso den Nachweis der auf der Zeichnung vermerkten Prüfvorschriften und Spezifikationen.;neutral;The initial sampling also includes proof of the test regulations and specifications indicated on the drawing.;The initial sampling also includes proof of the test regulations and specifications noted on the drawing.
1327;Die Mustermann AG behält sich das Recht vor, auf Grundlage der Qualitätsrichtlinie mit den Lieferanten eine Rahmenleistungsvereinbarung mit speziellen Anforderungen an die Prozess- und Produktqualität zu vereinbaren, sofern weiterführende Festlegungen notwendig sind.;Die Mustermann AG behält sich das Recht vor, auf Grundlage der Qualitätsrichtlinie mit den Lieferanten weitergehende Regelungen mit speziellen Anforderungen an die Prozess-, Produkt- und Servicequalität oder regulatorischen Erfordernissen zu vereinbaren, sofern diese notwendig sind.;inconsistent;Mustermann AG reserves the right to agree a framework service agreement with the suppliers on the basis of the quality guideline with special requirements for process and product quality if further specifications are necessary.;Mustermann AG reserves the right to agree further regulations with the suppliers on the basis of the quality guideline with special requirements for process, product and service quality or regulatory requirements, insofar as these are necessary.
1328;Die Zuständigkeiten sind im Flussdiagramm zur Prozessbeschreibung farbig gekennzeichnet und diesem zu entnehmen.;Die Zuständigkeiten sind im Diagramm zur Prozessbeschreibung farblich gekennzeichnet und diesem zu entnehmen.;neutral;The responsibilities are color-coded in the flowchart for the process description and can be taken from it.;The responsibilities are color-coded in the process description diagram and can be taken from it.
1329;Werden die von Mustermann AG festgelegten Fähigkeitskennwerte nicht erreicht, muss der Lieferant entweder seine Anlagen entsprechend optimieren oder geeignete Prüfungen an den hergestellten Produkten durchführen, um mangelhafte Lieferungen auszuschließen.;Werden von Mustermann AG festgelegte Fähigkeitswerte nicht erreicht, muss der Lieferant entweder seine Anlagen optimieren oder geeignete Prüfungen an den hergestellten Produkten durchführen, um eine mangelhaft Lieferung auszuschließen.;neutral;If the capability parameters specified by Mustermann AG are not achieved, the supplier must either optimize its systems accordingly or carry out suitable tests on the manufactured products in order to rule out defective deliveries.;If the capability values specified by Mustermann AG are not achieved, the supplier must either optimize its systems or carry out suitable tests on the manufactured products in order to rule out a defective delivery.
1330;Überlieferungen: Eine Überlieferung liegt vor, wenn die gelieferte Menge die bestellte Menge überschreitet (jedoch der Lieferscheinmenge entspricht).;Mehrlieferungen: Eine Mehrlieferung liegt vor, wenn die gelieferte Menge die Lieferscheinmenge überschreitet.;different context;Overdeliveries: An overdelivery occurs when the quantity delivered exceeds the quantity ordered (but corresponds to the delivery note quantity).;Excess deliveries: An excess delivery exists if the delivered quantity exceeds the delivery note quantity.
1331;Für Arbeitsabläufe notwendige technische Einrichtungen und Dokumentationen müssen vorhanden und eine wiederholsichere Fertigung gewährleistet sein.;Für die Arbeitsabläufe notwendige technische Einrichtungen und Dokumentationen müssen vorhanden sein.;inconsistent;Technical equipment and documentation required for work processes must be available and repeatable production must be guaranteed.;The technical equipment and documentation required for the work processes must be available.
1332;Die zur Herstellung der Teile erforderlichen Prozesse müssen ebenso wie die dazu verwendeten Materialien dem neuesten / vereinbarten Stand der Technik sowie den einschlägigen Verordnungen entsprechen.;Die zur Herstellung der Teile erforderlichen Prozesse müssen ebenso wie die dazu verwendeten Materialien dem neuesten Stand von Wissenschaft und Technik sowie den einschlägigen Verordnungen entsprechen.;inconsistent;The processes required to manufacture the parts and the materials used must comply with the latest / agreed state of the art and the relevant regulations.;The processes required to manufacture the parts and the materials used must comply with the latest scientific and technical standards and the relevant regulations.
1333;Wurden unsererseits keine speziellen Merkmale hervorgehoben bzw. keine Absprachen getroffen, so sind sämtliche Merkmale bei der Bemusterung zu berücksichtigen.;Wurden seitens der Mustermann AG keine speziellen Merkmale hervorgehoben bzw. keine Absprachen getroffen, so sind sämtliche Merkmale bei der Bemusterung zu berücksichtigen.;different context;If no special features have been highlighted by us or no agreements have been made, all features must be taken into account in the sampling.;If no special features have been emphasized by Mustermann AG or no agreements have been made, all features must be taken into account in the sampling.
1334;Personenbezogene Daten dürfen nur für festgelegte, eindeutige und rechtmäßige Zwecke erhoben und verarbeitet werden.;Personenbezogene Daten dürfen nur für festgelegte, eindeutige und legitime Zwecke erhoben werden und dürfen nicht in einer mit diesen Zwecken nicht zu vereinbarenden Weise weiterverarbeitet werden.;neutral;Personal data may only be collected and processed for specified, explicit and legitimate purposes.;Personal data may only be collected for specified, explicit and legitimate purposes and may not be further processed in a manner incompatible with those purposes.
1335;Gelangensbestätigung: Der Auftraggeber verpflichtet sich der Mustermann AG Gelangensbestätigungen spätestens 4 Wochen nach Abholung der Ware auszustellen.;Der Auftraggeber verpflichtet sich gegenüber der Mustermann AG Gelangensbestätigungen innerhalb von 4 Wochen nach Abholung der Ware auszustellen.;neutral;Confirmation of receipt: The client undertakes to issue Mustermann AG with confirmation of receipt no later than 4 weeks after collection of the goods.;The customer undertakes to provide Mustermann AG with confirmation of receipt within 4 weeks of collection of the goods.
1336;Die Mustermann AG behält sich das Recht vor, jederzeit bei Vorliegen sachlicher Gründe und zur Wahrnehmung berechtigter Interessen dem Einsatz des Subunternehmers zu widersprechen.;Die Mustermann AG behält sich das Recht vor, jederzeit bei Vorliegen sachlicher Gründe und zur Wahrung berechtigter Interessen dem Einsatz von Sub-Auftragnehmern zu widersprechen.;neutral;Mustermann AG reserves the right to object to the use of the subcontractor at any time for objective reasons and to safeguard legitimate interests.;Mustermann AG reserves the right to object to the use of subcontractors at any time if there are objective reasons for doing so and in order to protect legitimate interests.
1337;Vertrauliche Informationen dürfen nur Personen zugänglich gemacht werden, die entsprechend befugt sind und einen legitimen betrieblichen Grund zur Einsichtnahme haben.;Sie dürfen bis dahin nur Personen zur Verfügung stehen, die diese Informationen zur Wahrnehmung ihrer Aufgaben benötigen.;different context;Confidential information may only be made accessible to persons who are appropriately authorized and have a legitimate business reason for viewing it.;Until then, they may only be available to persons who need this information to perform their duties.
1338;Die Verarbeitung personenbezogener Daten kann auch erfolgen, wenn dies zur Verwirklichung eines berechtigten Interesses der Mustermann AG erforderlich ist.;Die Verarbeitung personenbezogener Daten kann erfolgen, wenn dies zur Verwirklichung eines berechtigten Interesses der Mustermann AG notwendig ist.;neutral;Personal data may also be processed if this is necessary to realize a legitimate interest of Mustermann AG.;Personal data may be processed if this is necessary to realize a legitimate interest of Mustermann AG.
1339;Der Erlaubnisschein ist für jede Arbeit separat auszustellen und gilt in der Regel für einen Tag.;Der Erlaubnisschein ist für jede Arbeit separat auszustellen und gilt in der Regel für eine Schachtung.;contradiction;The permit must be issued separately for each job and is generally valid for one day.;The permit must be issued separately for each job and is generally valid for one shaft.
1340;Von Seiten des Auftraggebers wird für eingebrachte Gegenstände keine Haftung übernommen.;Für eingebrachte Gegenstände wird keine Haftung übernommen.;inconsistent;The client accepts no liability for items brought in.;No liability is assumed for items brought in.
1341;Fahrzeugüberhang: Ist ein Versetzen des Unterfahrschutzes bei Überhangsverlängerung notwendig, muss die Befestigung der des Originalfahrzeugs entsprechen.;Ist ein Versetzen des Unterfahrschutzes bei Überhangsverlängerung erforderlich, so hat die Befestigung der des Originalfahrzeugs zu entsprechen.;neutral;Vehicle overhang: If it is necessary to relocate the underride guard when extending the overhang, the attachment must correspond to that of the original vehicle.;If it is necessary to relocate the underride guard when extending the overhang, the attachment must correspond to that of the original vehicle.
1342;Die Verarbeitung personenbezogener Daten muss dem Zweck angemessen und auf das dafür notwendige Maß beschränkt sein.;Die Verarbeitung personenbezogener Daten muss auf das für die Erreichung der Zwecke erforderliche Maß beschränkt sein.;inconsistent;The processing of personal data must be appropriate to the purpose and limited to what is necessary for that purpose.;The processing of personal data must be limited to what is necessary to achieve the purposes.
1343;Fremdfirmen sind verpflichtet, von ihnen, ihren Arbeitskräften und sonstigen Beauftragten eingebrachtes Eigentum in geeigneter Weise zu sichern und selbst zu versichern.;Fremdfirmen sind verpflichtet, von ihnen eingebrachtes Eigentum in geeigneter Weise zu kennzeichnen und zu sichern.;inconsistent;External companies are obliged to secure property brought in by them, their employees and other agents in a suitable manner and to insure it themselves.;External companies are obliged to mark and secure property brought in by them in a suitable manner.
1344;"Eine Ablehnung wird in der Nachweisungsliste durch die Bezeichnung „ Erhöhungs- Abl. "" bestätigt.";"Eine Ablehnung wird in der Nachweisungsliste durch die Bezeichnung „ Abl. Rücknahme "" bestätigt.";contradiction;"A rejection will be confirmed in the verification list by the designation ""Increase request"".";"A rejection is confirmed in the verification list by the designation "" Abl. withdrawal ""."
1345;Die Erstmusterprüfung dient zur Freigabe der Serienfertigung, wenn alle maßlichen, werkstofflichen und funktionsmäßigen Kriterien erfüllt werden, die nach Zeichnung und Spezifikationen zwischen der Mustermann AG und dem Lieferanten vereinbart wurden.;Die Erstmusterprüfung dient zur Freigabe der Serienfertigung, wenn alle maßlichen, werkstofflichen und funktionsmäßigen Kriterien erfüllt werden, die nach Zeichnung und Spezifikationen zwischen der Mustermann AG und dem Lieferant vereinbart wurden.;neutral;The initial sample inspection serves to approve series production if all dimensional, material and functional criteria agreed between Mustermann AG and the supplier according to the drawing and specifications are met.;The initial sample inspection serves to approve series production if all dimensional, material, and functional criteria agreed upon between Mustermann AG and the supplier in accordance with drawings and specifications are met.
1346;Prototypen müssen deutlich durch spezifische Anhänger und Aufkleber gekennzeichnet werden, um sie von Serienteilen deutlich zu unterscheiden.;Prototypen müssen deutlich durch spezifische Anhänger und Aufkleber gekennzeichnet werden.;neutral;Prototypes must be clearly marked with specific tags and stickers to distinguish them clearly from series parts.;Prototypes must be clearly marked with specific tags and stickers.
1347;Sollten sie zur Durchführung der vereinbarten Leistungen dennoch benötigt werden, so ist von der Partnerfirma und deren Subunternehmen die Gestellung bei dem Fertigungsingenieur / Koordinator zu beantragen.;Sollten projektspezifische Arbeitsanweisungen nicht bestehen, jedoch besondere für die jeweilige Arbeit erforderlich sein, so sind diese durch die Partnerfirmen zu erstellen und mit dem Fertigungsingenieur / Koordinator abzusprechen.;different context;Should they nevertheless be required to carry out the agreed services, the partner company and its subcontractors must apply to the production engineer / coordinator for their provision.;If project-specific work instructions do not exist, but are required for the work in question, these must be drawn up by the partner companies and agreed with the production engineer / coordinator.
1348;Der Auftragnehmer darf personenbezogene Daten nur im Rahmen der Weisungen des Auftraggebers verarbeiten.;Der Auftragnehmer wird darin verpflichtet, personenbezogene Daten nur im Rahmen der Weisungen des Auftraggebers zu verarbeiten.;neutral;The contractor may only process personal data in accordance with the client's instructions.;The contractor is obliged to process personal data only in accordance with the client's instructions.
1349;Reichen die erteilten Freigaben nachweislich nicht für eine Aufrechterhaltung der Lieferfähigkeit aus, kann die Mustermann AG den Freigabezeitraum auf Verlangen des LIEFERANTEN verlängern.;Sofern die erteilten Freigaben nachweislich nicht für die Aufrechterhaltung der Lieferfähigkeit ausreichen, kann die Mustermann AG den Freigabezeitraum auf Verlangen des Lieferanten verlängern.;neutral;If the releases issued are demonstrably not sufficient to maintain the ability to deliver, Mustermann AG may extend the release period at the SUPPLIER's request.;If the releases issued are demonstrably not sufficient to maintain the ability to deliver, Mustermann AG may extend the release period at the supplier's request.
1350;Außerhalb der Regelarbeitszeit vertritt der Sicherheitsdiensthabende entsprechend seiner Aufgabenzuweisung den Leiter OE.;Außerhalb der Regelarbeitszeit vertritt der Sicherheitsdiensthabende entsprechend seiner Aufgabenzu- weisung den Leiter OE.;neutral;Outside normal working hours, the security officer deputizes for the Head of OU in accordance with his or her task assignment.;Outside normal working hours, the security officer deputizes for the Head of OU in accordance with his/her task assignment.
1351;Jeder Mitarbeiter ist verpflichtet, sich über die in seinem Verantwortungsbereich geltenden Vorschriften zu informieren und diese einzuhalten.;Jeder Mitarbeiter ist aufgefordert, in seinem Verantwortungsbereich aktiv an der Umsetzung der Compliance Regelungen mitzuwirken.;different context;Every employee is obliged to inform themselves about the regulations applicable in their area of responsibility and to comply with them.;Every employee is required to actively participate in the implementation of compliance regulations in their area of responsibility.
1352;Setzteillieferanten können von der Mustermann AG oder dem Endkunden vorgeschrieben werden.;Setzteillieferanten können von Mustermann AG oder dem Endkunden vorgeschrieben werden.;neutral;Set part suppliers can be specified by Mustermann AG or the end customer.;Parts suppliers may be specified by Mustermann AG or the end customer.
1353;Es ist dafür zu sorgen, dass Schlauchanschlüsse und Schlauchverbindungen so gesichert werden, dass ein Umherschlagen der Schlauchenden beim unbeabsichtigten Lösen verhindert ist.;Schlauchanschlüsse und Schlauchverbindungen müssen so gesichert werden, dass ein Umherschlagen der Schlauchenden beim unbeabsichtigten Lösen verhindert ist.;neutral;It must be ensured that hose connections and hose joints are secured in such a way that the hose ends cannot swing around in the event of unintentional disconnection.;Hose connections and hose joints must be secured in such a way that the hose ends are prevented from swinging around in the event of unintentional disconnection.
1354;Unternehmensgrundsatz: Wir respektieren die persönlichen Interessen und das Privatleben unserer Kollegen.;Wir respektieren die persönlichen Interessen und das Privatleben unserer Kollegen.;neutral;Company principle: We respect the personal interests and private lives of our colleagues.;We respect the personal interests and private lives of our colleagues.
1355;Bei der Erfassung, Speicherung, Verarbeitung, Übermittlung und Weitergabe von persönlichen Informationen, sind die Gesetze zu Datenschutz und Informationssicherheit und die behördlichen Vorschriften zu beachten.;Der Lieferant hat bei der Erfassung, Speicherung, Verarbeitung, Übermittlung und Weitergabe von persönlichen Informationen die Gesetze zu Datenschutz und Informationssicherheit und die behördlichen Vorschriften zu beachten.;neutral;When collecting, storing, processing, transmitting and passing on personal information, the laws on data protection and information security and the official regulations must be observed.;The Supplier shall comply with the laws on data protection and information security and the official regulations when collecting, storing, processing, transmitting and passing on personal information.
1356;Die Verantwortlichen der Auftragnehmer müssen über die zu reinigenden Maschinen, Anlagen eingewiesen sein (mind. 1x jährlich und bei wesentlichen Anlagenänderungen).;Die Verantwortlichen der Auftragnehmer müssen über die zu reinigenden Maschinen, Anlagen eingewiesen sein.;inconsistent;The contractor's responsible persons must be instructed about the machines and systems to be cleaned (at least once a year and in the event of significant system changes).;The contractor's responsible persons must be instructed about the machines and systems to be cleaned.
1357;Ziel dieser Norm ist es, die Einhaltung von aktuellen und kommenden Vorschriften bezüglich Inhaltsstoffen in Produkten und Bauteilen sowie Verpackungen zu garantieren und die Verwendung von schädlichen aber (noch) nicht verbotenen Stoffen zu minimieren.;Ziel dieser Norm ist es, die Einhaltung von aktuellen und kommenden Vorschriften bzgl. Inhaltsstoffe in Produkten und Bauteilen sowie Verpackungen sicherzustellen und die Verwendung von schädlichen aber (noch) nicht verbotenen Stoffen zu minimieren.;neutral;The aim of this standard is to guarantee compliance with current and future regulations regarding ingredients in products, components and packaging and to minimize the use of harmful but not (yet) banned substances.;The aim of this standard is to ensure compliance with current and future regulations regarding ingredients in products, components and packaging and to minimize the use of harmful but not (yet) banned substances.
1358;Kein Mitarbeiter darf seine dienstliche Stellung dazu benutzen, Vorteile zu fordern, anzunehmen, sich zu verschaffen oder zusagen zu lassen.;Kein Mitarbeiter darf unzulässige Vorteile fordern oder annehmen.;inconsistent;No employee may use their official position to demand, accept, obtain, or promise advantages.;No employee may demand or accept improper benefits.
1359;Der Lieferant stellt über ein Verteilersystem sicher, dass allen betroffenen Stellen stets die letztgültigen von der Mustermann AG zugestellten Unterlagen zur Verfügung stehen.;Der Lieferant stellt über ein Verteilersystem sicher, dass allen betroffenen Stellen stets letztgültige, von der Mustermann AG zugestellte technische Unterlagen zur Verfügung stehen.;inconsistent;The supplier shall use a distribution system to ensure that the latest documents sent by Mustermann AG are always available to all affected departments.;The supplier shall use a distribution system to ensure that the latest technical documents provided by Mustermann AG are always available to all affected departments.
1360;Alle liegengebliebenen Teile, Abfallstücke bzw. Materialreste müssen entfernt werden.;Sämtliche liegengebliebenen Teile, Abfallstücke und Materialreste sind zu entfernen.;neutral;All leftover parts, pieces of waste or material residues must be removed.;All parts, pieces of waste and material left behind must be removed.
1361;Die Lagerung und der Einsatz von Gefahrstoffen ist bei der Sicherheitsfachkraft vorher anzuzeigen (Sicherheitsdatenblatt).;Die Lagerung und der Einsatz von Gefahrstoffen ist dem Ansprechpartner / Auftraggeber vorher anzuzeigen (Sicherheitsdatenblatt).;inconsistent;The storage and use of hazardous substances must be reported to the safety officer in advance (safety data sheet).;The storage and use of hazardous substances must be reported to the contact person / client in advance (safety data sheet).
1362;Die Norm 3222 - 4 kann durch Lastenhefte, Materialfreigabelisten (MFL) und weitere Mustermann AG Normen und Vorgabe Dokumente ergänzt werden.;Die Norm 3222 - 2 kann durch Lastenhefte, Materialfreigabelisten (MFL) und weitere Mustermann AG Normen und Vorgabe Dokumente ergänzt werden.;different context;Standard 3222 - 4 can be supplemented by specifications, material release lists (MFL) and other Mustermann AG standards and specification documents.;Standard 3222 - 2 can be supplemented by specifications, material release lists (MFL) and other Mustermann AG standards and specification documents.
1363;Der Hersteller / Lieferant hat eine technische Kundenbetreuung zu gewährleisten und aussagekräftige Montageanleitungen zur Verfügung zu stellen.;Der Hersteller / Lieferant hat eine technische Kundenbetreuung zu gewährleisten und er hat den Anwendern aussagekräftige Montageanleitungen zur Verfügung zu stellen.;neutral;The manufacturer / supplier must guarantee technical customer support and provide meaningful installation instructions.;The manufacturer/supplier must provide technical customer support and must provide users with clear installation instructions.
1364;Diejenigen, die die Audits durchgeführt und die Zertifizierungsentscheidungen getroffen haben, dürfen nicht in den Prozess zum Umgang mit Einsprüchen einbezogen sein.;Die Zertifizierungsstelle muss sicherstellen, dass die Personen, die in den Prozess zum Umgang mit Einsprüchen einbezogen sind, andere sind als die, die die Audits durchgeführt und die Zertifizierungsentscheidungen getroffen haben.;neutral;Those who carried out the audits and made the certification decisions must not be involved in the process for dealing with appeals.;The certification body must ensure that the persons involved in the appeals process are different from those who conducted the audits and made the certification decisions.
1365;Ihre Mitarbeiter müssen die deutsche Sprache in ausreichendem Maße verstehen und anwenden können.;Der Projektleiter (AN) muss der deutschen Sprache mächtig sein und seine Mitarbeiter in einer von ihnen verstandenen Sprache anweisen können.;different context;Your employees must be able to understand and use the German language to a sufficient degree.;The project manager (CO) must be able to speak German and instruct his employees in a language they understand.
1366;Der Aufwand für ein angemessenes Ordnungssystem wird darüber hinaus nochmals für den Fall vereinfacht, dass beim späteren Buchen eine gegenseitige Indexierung / Verlinkung (unlösbare sachlogische Verknüpfung) zwischen Buchungssatz und digitalem Beleg vorgenommen wird, weil dann die Ordnungsangaben im Buchungssatz, insb. die Kontonummern, ein Ordnungssystem ergänzen, das aus dem Kontenrahmen entsteht.;Der Aufwand für ein angemessenes Ordnungssystem wird für den Fall vereinfacht, dass beim späteren Buchen eine gegenseitige Indexierung / Verlinkung (unlösbare sachlogische Verknüpfung) zwischen Buchungssatz und digitalem Beleg vorgenommen wird, weil dann die Ordnungsangaben im Buchungssatz, insb. die Kontonummern, ein Ordnungssystem ergänzen, das aus dem Kontenrahmen entsteht.;neutral;The effort required for an appropriate classification system is further simplified in the event that a mutual indexing/linking (indissoluble factual logical link) is made between the posting record and the digital document during subsequent posting, because the classification details in the posting record, in particular the account numbers, then supplement a classification system that arises from the chart of accounts.;The effort for an appropriate classification system is simplified in the event that a mutual indexing/linking (indissoluble factual logical link) is made between the posting record and the digital document during subsequent posting, because the classification information in the posting record, in particular the account numbers, then supplement a classification system that arises from the chart of accounts.
1367;Angestellte der Mustermann AG sind dazu angehalten, bei Zweifel über die Zulässigkeit der Essenseinladung oder der Höhe der zu übernehmenden Kosten, Rücksprache mit Ihrem Vorgesetzen zu halten.;Angestellte der Mustermann AG sind dazu angehalten, bei Zweifel über die Zulässigkeit oder die Höhe der zu übernehmenden Kosten, Rücksprache mit Ihrem Vorgesetzen zu halten.;inconsistent;Employees of Mustermann AG are required to consult with their supervisor in case of doubt about the admissibility of the meal invitation or the amount of the costs to be borne.;Employees of Mustermann AG are required to consult their supervisor in case of doubt about the admissibility or the amount of the costs to be borne.
1368;Beschädigte Ladungsträger sind von dem jeweiligen Nutzer ausnahmslos für den weiteren Umlauf zu sperren.;Beschädigte Ladungsträger sind vom jeweiligen Nutzer ausnahmslos für den weiteren Umlauf zu sperren und der Reparatur zuzuführen.;inconsistent;Damaged load carriers must be blocked for further circulation by the respective user without exception.;Damaged load carriers must be blocked for further circulation by the respective user without exception and sent for repair.
1369;Bei gewichtsvariablen Artikeln ist ein EAN-13 Strichcode mit Präfix 27 (mit verschlüsseltem Gewicht) anzubringen.;Bei gewichtsvariablen Artikeln ist ein Strichcode mit Präfix 27 (mit verschlüsseltem Gewicht) anzubringen.;inconsistent;An EAN-13 barcode with prefix 27 (with encoded weight) must be applied to variable-weight items.;A barcode with prefix 27 (with coded weight) must be affixed to variable-weight items.
1370;Abweichende Verpackung ist möglich, muss jedoch im Einzelfall mit dem Lieferwerk vereinbart werden und die Mehrkosten trägt der Auftraggeber.;Abweichende Verpackung ist im Einzelfall mit dem Lieferwerk zu vereinbaren und die Mehrkosten trägt der Auftraggeber.;neutral;Different packaging is possible, but must be agreed with the supplier in each individual case and the additional costs shall be borne by the customer.;Different packaging must be agreed with the supplier in individual cases and the additional costs shall be borne by the customer.
1371;Sollten unterjährig Schadteile mit neuen Sachnummern vorgelegt werden oder neue Ersatzteilnummern innerhalb der Garantiesysteme auftreten, werden unterjährig einvernehmlich zwischen Mustermann AG und dem Lieferanten neue Teilefamilien vereinbart bzw. bestehende Teilefamilien ergänzt.;Sollten unterjährig Schadteile mit neuen Sachnummern vorgelegt werden oder neue Ersatzteilnummern innerhalb der Garantiesysteme auftreten, werden unterjährig einvernehmlich zwischen Mustermann AG und dem Partner neue Teilefamilien vereinbart bzw. bestehende Teilefamilien ergänzt.;different context;If damaged parts with new part numbers are submitted during the year or new spare part numbers occur within the warranty systems, new part families shall be agreed by mutual agreement between Mustermann AG and the supplier during the year or existing part families shall be supplemented.;If defective parts with new part numbers are submitted during the year or new spare part numbers appear within the warranty systems, new part families will be agreed upon or existing part families supplemented during the year by mutual agreement between Mustermann AG and the partner.
1372;Nach § 3 Abs. 1 ArbSchG hat der Arbeitgeber die Pflicht, die erforderlichen Maßnahmen des Arbeitsschutzes unter Berücksichtigung der Umstände zu treffen, die Sicherheit und Gesundheit der Beschäftigten bei der Arbeit beeinflussen.;Der Arbeitgeber ist verpflichtet, die erforderlichen Maßnahmen des Arbeitsschutzes unter Berücksichtigung der Umstände zu treffen, die Sicherheit und Gesundheit der Beschäftigten bei der Arbeit beeinflussen.;neutral;According to Section 3 (1) ArbSchG, the employer is obliged to take the necessary occupational health and safety measures, taking into account the circumstances that affect the safety and health of employees at work.;The employer is obliged to take the necessary occupational health and safety measures, taking into account the circumstances that affect the safety and health of employees at work.
1373;Arbeiten in Behältern, Kanälen, Schächten und Gruben sind erst nach schriftlicher Festlegung der Sicherheitsmaßnahmen auszuführen.;Arbeiten in Behältern, Kanälen, Schächten und Gruben sind erst nach schriftlicher Festlegung der Sicherheitsmaßnahmen auszuführen (Erlaubnisschein für Behälter, Gruben, Schächte usw.).;neutral;Work in containers, ducts, shafts and pits may only be carried out after the safety measures have been specified in writing.;Work in containers, sewers, shafts and pits may only be carried out after the safety measures have been specified in writing (permit for containers, pits, shafts, etc.).
