;sentence1;sentence2;gold_label
958;Der Lieferant führt Prozessfähigkeitsuntersuchungen für alle Merkmale durch, die insbesondere die Funktion oder Sicherheit beeinflussen oder eine wichtige qualitätsbestimmende Eigenschaft haben.;Der Lieferant führt Prozessfähigkeitsuntersuchungen für alle Merkmale durch, die insb. die Funktion oder Sicherheit beeinflussen oder aber eine wichtige qualitätsbestimmende Eigenschaft haben.;neutral
959;Vergibt der Lieferant Aufträge an Unterauftragnehmer, so müssen die Inhalte dieser Richtlinie auch durch diese erfüllt werden.;Vergibt der Lieferant Aufträge an Unterauftragnehmer, so muss sichergestellt sein, dass die Forderungen dieser Richtlinie auch durch den Unterauftragnehmer erfüllt werden.;neutral
960;Fairness im Wettbewerb: Es wird erwartet, dass die Lieferanten sich im Wettbewerb fair verhalten und die geltenden Kartellgesetze achten.;Freier Wettbewerb: Die Mustermann AG erwartet, dass seine Lieferanten sich im Wettbewerb fair verhalten und die geltenden Kartellgesetze beachten.;neutral
961;Jedem Mitarbeiter ist diese Richtlinie auszuhändigen.;Alle Mitarbeiter werden Schulungen zu dieser Richtlinie erhalten.;not_related
962;Lieferanten, die Schweißteile für die Mustermann AG herstellen, müssen über entsprechend qualifiziertes Schweißpersonal nach EN 287 und Schweißaufsicht DIN EN ISO 14731 verfügen.;Lieferanten, die Schweißteile für die Mustermann AG herstellen, müssen über entsprechend qualifiziertes Schweißpersonal nach EN ISO 9606 und Schweißaufsicht EN ISO 14731 verfügen.;contradiction
963;Werden die Mindestanforderungen vorübergehend nicht erreicht, sind 100 % - Prüfungen so lange durchzuführen, bis durch Korrekturmaßnahmen die Fähigkeit erreicht ist.;Werden die Mindestanforderungen vorübergehend nicht erreicht, ist eine 100 % ige Prüfung durchzuführen, bis die angedachten Korrekturmaßnahmen wirksam sind und die festgeschriebenen Fähigkeiten erreicht werden.;neutral
964;AB-Lieferanten werden aufgefordert mitzuteilen, welche Massnahmen ergriffen werden, um die Qualitätseinstufung als A-Lieferant zu erreichen.;B-Lieferanten werden aufgefordert mitzuteilen, welche Massnahmen ergriffen werden, um die Qualitätseinstufung als A-Lieferant zu erreichen.;not_related
965;Die Freigabe der Muster durch den Abnehmer entbindet den Lieferanten nicht von der Verantwortung für die Qualität seiner Produkte.;Eine Freigabe der Muster durch die Mustermann AG entbindet den Lieferanten nicht von der Verantwortung für die Qualität seiner Produkte.;not_related
966;Die Maschinenfähigkeitsuntersuchungen müssen auf Verlangen zum Erstmustertermin vorliegen.;Die Maschinenfähigkeitsuntersuchungen müssen spätestens zum Erstmustertermin vorliegen.;contradiction
967;Das bedeutet, dass der Verlader und der Fahrer die Ladungssicherung auf der Basis der Richtlinie VDI 2700 durchzuführen haben, und dass der Halter das Fahrzeug so ausreichend mit Ladungssicherungsmitteln auszurüsten hat, dass dies auch möglich ist.;Das bedeutet, dass der Verlader und der Fahrer die Ladungssicherung auf der Basis der Richtlinie VDI 2700 durchzuführen haben, und dass der Halter das Fahrzeug so ausreichend mit Ladungssicherungsmitteln ausrüsten muss, dass dies auch möglich ist.;neutral
968;Die Schweißrauche sind grundsätzlich an der Entstehungsstelle durch geeignete brennerintegrierte Absaugungen oder nachführbare Absaugelemente über der Schweißstelle abzusaugen.;Die Schweißrauche sind grundsätzlich an der Entstehungsstelle vorzugsweise durch geeignete brennerintegrierte Absaugungen oder auch durch nachführbare Absaugelemente über der Schweißstelle abzusaugen.;contradiction
969;Gefahrenanalysen werden von Beschäftigten der Mustermann AG mit Unterstützung externer Dienstleister durchgeführt.;Im Laufe der Zeit verschiebt sich der Anteil der Unterstützung externer Dienstleister dahingehend, dass dieser die Gefahrenanalysen durchführt mit nur geringfügiger Beteiligung von Beschäftigten der Mustermann AG (z. B. aufgrund sich verändernder Aufgaben und / oder Aufgabendichte bei den Beschäftigten der Mustermann AG).;not_related
970;Für alternative Realisierungen von Ersatzsteifigkeiten durch den Aufbauhersteller ist eine detaillierte Bewertung der zuständigen Abteilung (→ Seite 13) notwendig und eine Unbedenklichkeitsbescheinigung (→ Seite 15) über das Aufbauhersteller-Portal (→ Seite 18) online zu beantragen.;Für alternative Realisierungen von Ersatzsteifigkeiten durch den Aufbauhersteller ist eine detaillierte Bewertung der zuständigen Abteilung (→ Seite 13) notwendig.;inconsistent
971;Auf dem Werksgelände gelten die Vorschriften der Straßenverkehrsordnung.;Für das Fahren und Parken auf dem Werksgelände gelten die Vorschriften der Straßenverkehrsordnung.;neutral
972;Um zu vermeiden, dass gegen wettbewerbsrechtliche Vorschriften verstoßen wird, dürfen Mitarbeiter nur an solchen Veranstaltungen teilnehmen, die zulässige Zwecke verfolgen und wenn sie ausreichend geschult sind, um einen zulässigen Informationsaustausch sicherzustellen.;Sollte es im Rahmen einer Veranstaltung zum unzulässigen Informationsaustausch mit Wettbewerbern kommen, sind die Mitarbeiter verpflichtet, sich eindeutig von diesem Informationsaustausch zu distanzieren und die entsprechende Veranstaltung unverzüglich zu verlassen.;not_related
973;Ein sicherer Abstand liegt dann vor, wenn der Prüfende weder mit Körperteilen noch mit Gegenständen die Verbotszone erreichen kann.;Ein sicherer Abstand ist dann gewährleistet, wenn der Prüfende weder mit Körperteilen noch mit Gegenständen die Verbotszone erreichen kann.;neutral
974;Jede Arbeit muss freiwillig sein und die Beschäftigten müssen jederzeit die Arbeit oder das Beschäftigungsverhältnis beenden können.;Jede Arbeit muss freiwillig sein und es muss die Möglichkeit bestehen, das Beschäftigungsverhältnis beenden zu können.;neutral
975;Vor Beginn von Tiefbauarbeiten (Ausschachtungen, Gruben, Kanäle usw.) muss sich die ausführende Firma mit dem Vertreter / Ansprechpartner des Auftraggebers abstimmen und über die Lage der stromführenden Kabel, Wasser-, Gas- und Druckluftleitungen informieren.;Bei Tiefbauarbeiten (Ausschachtungen, Gruben, Kanäle usw.) muss sich die ausführende Firma vor Beginn der Arbeit über den Auftragsverantwortlichen des Auftraggebers oder bei den zuständigen Fachstellen unseres Hauses über die Lage von Gas-, Wasser- und spannungsführenden Leitungen informieren.;inconsistent
976;Den Bestellungen mit Formblatt ist eine Grundrissskizze beizufügen, aus der die gewünschte Platzierung der Anschlüsse ersichtlich ist.;Den Bestellungen mit Formblatt ist eine Grundrissskizze beizufügen, aus der die gewünschte Platzierung der Abzüge ersichtlich ist.;not_related
977;Unter compliance@Mustermann-AG können Sie Ihre Fragen zum Thema Korruption stellen.;Fragen zum Thema Korruption können Sie unter compliance@Mustermann-AG stellen.;neutral
978;Mängel sind nur vom Fachmann beseitigen zu lassen.;Mängel sind vom Fachmann unverzüglich zu beheben, da es sonst zu Folgeschäden kommen kann.;neutral
979;Bei Nichterfüllung der Qualitätsanforderungen in der Eskalationsstufe 2 wird der Lieferant in die Eskalationsstufe 3 gesetzt.;Eskalationsstufe 3: Bei Nichterfüllung der Qualitätsanforderungen in der Eskalationsstufe 2 wird der Lieferant in die Eskalationsstufe 3 eingestuft.;neutral
980;Erfolgt seitens der Mustermann AG keine Vorgabe mittels Bestellbeiblatt (Verpackungshinweis), so ist der Zulieferer aufgefordert, Lösungsvorschläge zu erarbeiten und auf eine zweckmäßige und sichere Verpackung hinzuwirken.;Verpackungsvorschriften: Erfolgt seitens der Mustermann AG keine Vorgabe mittels Bestellbeiblatt (Verpackungshinweis), so hat der Lieferant Lösungsvorschläge zu erarbeiten und auf eine zweckmäßige und sichere Verpackung hinzuwirken.;neutral
981;Korruption ist auch in der Privatwirtschaft verboten.;Korruption ist in jeder Konstellation gesetzlich verboten, unabhängig davon, ob sie direkt oder indirekt durch Hinzuziehung Dritter, in der Privatwirtschaft oder im Umgang mit Behörden geschieht.;neutral
982;Das Klasse-3-Teil des Druckreglers muss einem Druck bis zum 2-fachen des Abblasdrucks des Druckentlastungsventils widerstehen, zu dem er gehört.;Das Klasse-3-Teil der Druck- und Temperaturfühler muss einem Druck bis zum 2-fachen des Abblasdrucks des Druckentlastungsventils widerstehen, zu dem er gehört.;not_related
983;Der Lieferant verzichtet insoweit auf den Einwand der verspäteten Mängelrüge.;Der Lieferant verzichtet auf den Einwand der verspäteten Mängelrüge.;neutral
984;Für Lieferanten von Kunststoffgranulaten gilt der Punkt 1.2.3 Bemusterung nicht in dem beschriebenen Umfang.;Es gelten folgende Ausnahmen: Für Lieferanten von Kunststoffgranulaten gilt der Punkt 1.2.3 Bemusterung nicht in dem beschriebenen Umfang.;neutral
985;Außerhalb der Regelarbeitszeit vertritt der Sicherheitsdiensthabende entsprechend seiner Aufgabenzuweisung den Leiter OE.;Außerhalb der Regelarbeitszeit vertritt der Sicherheitsdiensthabende entsprechend seiner Aufgabenzu- weisung den Leiter OE.;neutral
986;Gefahrstoffe, Biostoffe und andere, z. B. korrosiv wirkende Stoffe, werden im Sinne dieser Richtlinien zusammenfassend als Schadstoffe bezeichnet.;Im Sinne dieser Richtlinien werden Gefahrstoffe, Biostoffe und andere, z. B. korrosiv wirkende Stoffe, zusammenfassend als Schadstoffe bezeichnet.;neutral
987;Die Fremdfirma setzt nur qualifizierte Mitarbeiter für gefährliche Arbeiten ein.;Die Fremdfirma hat sich nur in den Betriebsteilen aufzuhalten, in denen die vereinbarten Arbeiten zu verrichten sind.;not_related
988;Auf dem gesamten Betriebsgelände ist das Rauchen und offenes Feuer aufgrund der bestehenden Brand- und Explosionsgefahr streng verboten.;Rauchen und offenes Feuer ist in den Räumen, Bereichen sowie in der Nähe von Maschinen, Anlagen und Einrichtungen verboten, wo aufgrund der in ihnen verwendeten oder gelagerten Substanzen und Materien Brand- und Explosionsgefahr besteht.;contradiction
989;Die Mustermann AG zeigt Mängel der Lieferung, sobald sie nach den Gegebenheiten eines ordnungsgemäßen Geschäftsablaufes festgestellt werden, dem Lieferanten unverzüglich an.;Die Mustermann AG wird Mängel in einer Lieferung, sobald sie nach den Gegebenheiten eines ordnungsgemässen Geschäftsablaufes festgestellt wurden, dem Lieferanten unverzüglich anzeigen.;neutral
990;Nachts-, Samstags-, Sonntags- und Feiertagsarbeiten müssen durch den Mustermann AG Beauftragten beim Werkschutz vorangemeldet werden.;Nachts-, Samstags-, Sonntags- sowie Feiertagsarbeiten sind durch den Mustermann AG Beauftragten beim Werkschutz vorab anzumelden.;neutral
991;Alle Mitarbeiter sind angehalten, sich über die für ihren jeweiligen Verantwortungsbereich geltenden Gesetze, sonstigen Vorschriften und internen Richtlinien und Regelungen umfassend zu informieren und in Zweifelsfällen die zuständigen Stellen (siehe dazu Ziffer 3) zu kontaktieren.;Jeder Mitarbeiter ist verpflichtet, sich über die in seinem Verantwortungsbereich geltenden Vorschriften zu informieren und diese einzuhalten.;inconsistent
992;Die Mustermann AG Norm 3222 - 1 kann durch Lastenhefte, Materialfreigabelisten (MFL) und weitere Mustermann-Normen und Vorgabe Dokumente ergänzt werden.;Die Mustermann AG Norm 3222 - 5 kann durch Lastenhefte, Materialfreigabelisten (MFL) und weitere Musterman-Normen und Vorgabe Dokumente ergänzt werden.;not_related
993;Wird auch nur ein Kriterium zur Ablegereife festgestellt, so ist das Zurrmittel unverzüglich von der Benutzung auszuschließen.;Wird auch nur ein Kriterium zur Ablegereife festgestellt, muss das Zurrmittel unverzüglich von der Benutzung ausgeschlossen werden.;neutral
994;Laut den einschlägigen Unfallverhütungsvorschriften sind Druckgasflaschen gegen Stoß, Umfallen, Zugriff Unbefugter sowie vor Erwärmung zu schützen.;Entsprechend den einschlägigen Unfallverhütungsvorschriften sind Druckgasflaschen gegen Stoß, Umfallen, Zugriff Unbefugter sowie vor Erwärmung zu schützen.;neutral
995;Die Anforderungen der Mustermann AG entbindet den Auftragnehmer nicht von seiner Produktverantwortung oder vertraglichen Verpflichtungen.;Die Bauteilzuordnung entbindet den Auftragnehmer nicht von seiner Produktverantwortung oder vertraglichen Verpflichtungen.;not_related
996;ArbSchG, § 5 Beurteilung der Arbeitsbedingungen (Auszug): (1) Der Arbeitgeber hat durch eine Beurteilung der für die Beschäftigten mit ihrer Arbeit verbundenen Gefährdung zu ermitteln, welche Maßnahmen des Arbeitsschutzes erforderlich sind.;Gemäß § 5 ArbSchG hat der Arbeitgeber durch eine Beurteilung die für die Beschäftigten mit ihrer Arbeit verbundenen Gefährdungen zu ermitteln, welche Maßnahmen des Arbeitsschutzes erforderlich sind.;neutral
997;Der Auftragnehmer verpflichtet sich, seinen Mitarbeitern*innen die zur Durchführung der Arbeiten am Standort erforderliche und geeignete Schutzausrüstung zur Verfügung zu stellen.;Der Auftragnehmer ist weiter verpflichtet seinen Mitarbeitern, die für die Ausführung seiner Tätigkeit gewerkspezifisch notwendige persönliche Schutzausrüstung zur Verfügung zu stellen.;neutral
998;Führt der Auftragnehmer Arbeiten außerhalb der regulären Arbeitszeit des Auftraggebers aus, so sind An- und Abmeldung gesondert mit dem Auftraggeber abzustimmen.;Führt der Auftragnehmer Arbeiten außerhalb der regulären Arbeitszeit des Auftraggebers aus, so muss er An- und Abmeldung gesondert mit dem Auftraggeber abstimmen.;neutral
999;Der Partner ist für die Einhaltung der Eintrefftermine der Sendungen bei der Mustermann AG verantwortlich und muss die Sendungen deshalb rechtzeitig gegenüber dem Spediteur zum Transport anmelden und bereitstellen.;Der Partner trägt die Verantwortung für die Einhaltung der Eintrefftermine der Sendungen bei der Mustermann AG und hat diese daher rechtzeitig gegenüber dem Spediteur zum Transport anzumelden und bereitzustellen.;neutral
1000;Fahrzeuge dürfen nur auf gekennzeichneten / zugeteilten Parkplätzen abgestellt werden.;Verkehrsteilnehmer dürfen ihre Fahrzeuge auf den Mustermann AG Standorten nur auf ausgewiesenen und gekennzeichneten Parkplätzen abstellen.;not_related
1001;Bei der Anlieferung von fehlerhaften Teilen trägt der Lieferant, sofern er als Verursacher eindeutig ermittelt wurde, für die Erledigung der notwendigen Nachbesserungs-, Instandsetzungs-, Umrüst- und Sortierarbeit die Verantwortung und somit auch für hierfür anfallende Kosten.;Bei fehlerhaft gelieferten Teilen hat der Lieferant für die Erledigung der notwendigen Nachbesserungs-, Instandsetzungs-, Umrüst- und Sortierarbeiten die Verantwortung und trägt die Kosten.;inconsistent
1002;Der Lieferant verpflichtet sich die Lieferungen ausreichend zu kennzeichnen.;Der Lieferant hat die entsprechend nachgearbeitete Ware bei Lieferung zu kennzeichnen.;not_related
1003;Der Lieferant ist verpflichtet, sich über die jeweils aktuelle Version dieser Richtlinie zu informieren.;Der Lieferant ist eigenständig dafür verantwortlich sich über die aktuell gültige Richtlinie zu informieren.;neutral
1004;Alle Mitarbeiter sind zur Einhaltung dieser Richtlinie verpflichtet.;Die Geschäftsführung verpflichtet jeden Mitarbeiter, diese Leitlinie und die daraus abgeleiteten Standards und Richtlinien zu beachten.;not_related
1005;Der Lieferant hat die Qualität seiner Produkte mit geeigneten Prüfmitteln sicherzustellen.;Unabhängig davon hat der Lieferant die Qualität der Produkte kontinuierlich zu prüfen.;inconsistent
1006;Wenn Gefahren durch diese Maßnahmen nicht angemessen kontrolliert werden können, sollen die Lieferanten ihren Mitarbeitern geeignete Schutzbekleidung zur Verfügung stellen.;Wenn Gefahren durch diese Maßnahmen nicht angemessen kontrolliert werden können, stellt der Lieferant seinen Mitarbeitern geeignete Schutzbekleidung zur Verfügung.;neutral
1007;Der Lieferant ist ohne schriftliche Zustimmung der Mustermann AG nicht berechtigt, die ihm aus der Lieferbeziehung mit Mustermann AG zustehenden Ansprüche abzutreten oder von Dritten einziehen zu lassen.;Der Lieferant darf ohne vorherige schriftliche Zustimmung der Mustermann AG nicht mit der Geschäftsverbindung werben oder für Mustermann AG gefertigte Produkte ausstellen.;not_related
1008;Soweit in anderen Rechtsvorschriften, insbesondere Arbeitsschutzvorschriften, Anforderungen gestellt werden, bleiben diese Vorschriften unberührt.;Soweit in anderen Rechtsvorschriften, insbesondere Arbeitsschutzvorschriften, Anforderungen gestellt werden, bleiben die Vorschriften unberührt.;neutral
1009;Angebote werden auf Anfrage der Mustermann AG kostenlos abgegeben und müssen dem angefragten Leistungsumfang (Lieferungs- und Qualitätsumfang, inkl. der in diesem Handbuch beschriebenen Forderungen ), den Mengen und gegebenenfalls angefragten Belieferungszeiträumen entsprechen.;Angebote werden auf Anfrage der Mustermann AG kostenlos abgegeben und müssen dem angefragten Leistungsumfang (Lieferungs- und Qualitätsumfang, inkl. den in diesem Handbuch beschriebenen Forderungen ), Mengen und angefragten Belieferungszeitraum entsprechen.;contradiction
1010;Sind fehlerhafte Erzeugnisse zur Auslieferung gelangt, so ist die Mustermann AG unverzüglich schriftlich hiervon zu informieren.;Sind fehlerhafte Erzeugnisse zur Auslieferung gelangt, so ist die Mustermann AG darüber unverzüglich schriftlich hiervon zu informieren.;neutral
1011;Der Lieferant verpflichtet sich, die Mustermann AG über die erkannten Fehler in der Fertigung, deren Ursachen und Abstellmaßnahmen zu informieren.;Der Lieferant ist verpflichtet, die Mustermann AG über die erkannten Fehler in der Fertigung, deren Ursachen und Abstellmaßnahmen in Kenntnis zu setzen.;neutral
1012;Durch eine Gefährdungsbeurteilung sind geeignete Schutzmaßnahmen festzulegen.;Bei der Durchführung von Schweißarbeiten sind entsprechend der Gefährdungsbeurteilung geeignete Schutzmaßnahmen zu treffen.;not_related
1013;Die persönliche Schutzausrüstung für die durchzuführenden Arbeiten ist von den Mitarbeitern mitzubringen und zu benutzen und diese ist vom Auftragnehmer zur Verfügung zu stellen.;Die persönliche Schutzausrüstung für die durchzuführenden Arbeiten ist von den Mitarbeitern zu benutzen und ist vom Auftragnehmer zur Verfügung zu stellen.;inconsistent
1014;Zur Sicherstellung der Lieferfähigkeit ist ein System der vorbeugenden und vorausschauenden Instandhaltung von Fertigungseinrichtungen und Werkzeugen zu entwickeln.;Zur Sicherstellung der Lieferfähigkeit verpflichtet sich der Lieferant ein System der vorbeugenden und vorausschauenden Instandhaltung von Fertigungseinrichtungen und Werkzeugen zu entwickeln.;neutral
1015;Die Mitarbeiter erhalten bei ihrem ersten Einsatz auf unserem Werksgelände entsprechende Unterweisungen durch den Koordinator, die sie mit ihrer Unterschrift dokumentieren.;Die Mitarbeiter erhalten bei ihrem ersten Einsatz bei der Mustermann AG eine Unterweisung, die sie mit ihrer Unterschrift dokumentieren.;not_related
1016;Auf dem Betriebsgelände gilt die Straßenverkehrsordnung.;Auf dem Betriebsgelände gilt sinngemäß die Straßenverkehrsordnung.;neutral
1017;Bei Feststellungen wurde ein Risiko hinsichtlich der Qualität von Kaufteilen der Mustermann AG identifiziert, der Lieferant wird aufgefordert, Abstellmaßnahmen und gegebenenfalls Sofortmaßnahmen einzuleiten und deren Umsetzung und Wirksamkeit der Mustermann AG  KG zur Kenntnis zu geben.;Bei Abweichungen / Nebenabweichungen wurde ein Risiko hinsichtlich der Qualität von Kaufteilen der Mustermann AG identifiziert, der Lieferant wird aufgefordert, Abstellmaßnahmen und gegebenenfalls Sofortmaßnahmen einzuleiten und deren Umsetzung und Wirksamkeit der Mustermann AG zur Kenntnis zu geben.;not_related
1018;Einschalten des Run Coordinators: Falls eine Betriebsunterbrechung länger als ½ h besteht und / oder zu erwarten ist, dass die Behebung einer Betriebsunterbrechung länger als ½ h dauert, muss der Run Coordinator kontaktiert werden.;Information des Photon Run Coordinators: Falls bei X-Ray Delivery eine Betriebsunterbrechung länger als ½ h besteht und / oder zu erwarten ist, dass die Behebung einer Betriebsunterbrechung länger als ½ h dauert, muss der Photon Run Coordinator informiert werden.;not_related
1019;Soweit möglich sind unter Beachtung der eigenen Sicherheit Erste-Hilfe-Leistungen und Löschversuche zu unternehmen.;So weit wie möglich sind unter Beachtung der Sicherheit Erste-Hilfe-Leistungen und Löschversuche zu unternehmen.;neutral
1020;Kein Mitarbeiter darf seine dienstliche Stellung dazu benutzen, Vorteile zu fordern, sich oder einem Dritten versprechen zu lassen oder anzunehmen.;Kein (e) Beschäftigte (r) darf seine / ihre dienstliche Stellung dazu benutzen, Vorteile zu fordern, anzunehmen, sich zu verschaffen oder zusagen zu lassen.;inconsistent
1021;Eine Produkt-FMEA wird für alle Bauteile, die in Verantwortung des Lieferanten konstruiert werden, vom Lieferanten durchgeführt.;Eine Produkt-FMEA ist für alle Bauteile durchzuführen, welche in Verantwortung des Lieferanten konstruiert werden.;neutral
1022;Die Anforderungen an Vertraulichkeit haben ein normales, an Gesetzeskonformität orientiertes Niveau.;Die Anforderungen an Vertraulichkeit haben ein hohes Niveau und erfüllen mindestens Gesetzeskonformität.;contradiction
1023;Wendet sich der Betroffene mit einem Informationsanliegen an die Mustermann AG (z. B. Wunsch nach Zusendung von Informationsmaterial ), so ist die Datenverarbeitung für die Erfüllung dieses Anliegens zulässig.;Wendet sich der Betroffene mit einem Informationsanliegen (z. B. mit dem Wunsch nach Zusendung von Informationsmaterial zu einem Produkt oder Service) an die Mustermann AG, so ist die Datenverarbeitung für die Erfüllung dieses Anliegens zulässig.;neutral
1024;Die Meldung der Personalstärke auf der Werft erfolgt durch das Formular Arbeitszeitvoranmeldung Partnerfirmen gemäß Kapitel 7 Mitgeltende Unterlagen.;Die Meldung der Personalstärke auf der Werft erfolgt durch das Formular Arbeitszeitvoranmeldung Partnerfirmen gemäß Kapitel 9 Mitgeltende Unterlagen.;inconsistent
1025;Fremdfirmen sind verpflichtet, von ihnen, ihren Arbeitskräften und sonstigen Beauftragten eingebrachtes Eigentum in geeigneter Weise zu sichern und selbst zu versichern.;Fremdfirmen sind verpflichtet, von ihnen eingebrachtes Eigentum in geeigneter Weise zu sichern.;inconsistent
1026;Hält ein Lieferant / Dienstleister eine Regelung in dieser Richtlinie nicht ein, erwartet die Mustermann AG von ihm, dass er unverzüglich Abhilfemaßnahmen ergreift.;Der Lieferant verpflichtet sich, die Mustermann AG rechtzeitig zu informieren, wenn die Vorschriften dieser Richtlinie im Einzelfall nicht eingehalten werden können.;not_related
1027;Gehen Sie nicht ohne Weiteres auf den Vorschlag ein, sondern fragen Sie den Kunden, warum die Rückzahlung nicht auf dem gleichen Weg erfolgen kann wie die Ursprungszahlung.;Gehen Sie nicht ohne weiteres auf den Vorschlag ein, sondern fragen Sie den Kunden, warum die Rückzahlung nicht auf dem gleichen Wege erfolgen kann wie die Ursprungszahlung.;neutral
1028;Der Produktionslenkungsplan ist während der gesamten Lebensdauer eines Endproduktes der Mustermann AG erforderlich, d. h. sowohl in der Prototypen-, der Vorserien- und Serienproduktionsphase.;"Ein Produktionslenkungsplan ist vom Lieferanten während der gesamten Lebensdauer eines Produktes anzuwenden und gemäss den aktuellen Anforderungen jeweils auf dem neuesten Stand zu halten, sowohl in der Vorserien-, als auch in der Serienproduktionsphase; auf besondere Aufforderung auch für die Prototypenphase.";inconsistent
1029;Mitarbeiter dürfen von Kunden, Lieferanten oder sonstigen Dritten keine Dienstleistungen, Geschenke oder Vorteile fordern oder annehmen, die ihr Verhalten hinsichtlich der Tätigkeit für Mustermann AG beeinflussen oder beeinflussen könnten.;Kein Mitarbeiter darf Kunden, Lieferanten, Amtsträgern oder sonstigen Dritten Dienstleistungen, Geschenke oder Vorteile anbieten, versprechen oder gewähren, damit dieser oder ein Dritter Mustermann AG in unlauterer Weise bevorzugt.;not_related
1030;Ausgehend vom Produktionslenkungsplan stellt der Lieferant die Einhaltung aller Serienprüfungen unter Berücksichtigung der festgelegten Mess- / Prüfmittel und Stichprobenplänen sicher.;Ausgehend vom Produktionslenkungsplan muss der Lieferant einen Prüfplan erstellen, aus dem alle zu prüfenden Merkmale mit den zugehörigen Prüfmitteln für jeden Arbeitsgang hervorgehen.;not_related
1031;Die Arbeitsstelle ist ständig in einem ordentlichen Zustand zu halten und nach Abschluss der Arbeiten sauber zu verlassen.;Halten Sie Ihre Arbeitsstelle ständig in einem ordentlichen Zustand und verlassen Sie sie nach Abschluss der Arbeiten aufgeräumt.;inconsistent
1032;Das Rauchen ist auf dem gesamten Betriebsgelände nur in den ausgewiesenen Bereichen erlaubt.;Im gesamten Betriebsgelände ist das Rauchen verboten.;contradiction
1033;Wenn der Auftrag an den Lieferanten Entwicklungsaufgaben umfasst, werden die Anforderungen durch die Vertragspartner schriftlich festgelegt, z. B. in Form eines Lastenheftes.;Wenn der Auftrag an den Lieferanten Entwicklungsaufgaben einschliesst, werden die Anforderungen durch die Vertragspartner schriftlich, z. B. in Form eines Lastenheftes, festgelegt.;neutral
1034;Der Auftragnehmer stellt sicher, dass seine Beschäftigten die an dem jeweiligen Leistungsort geltenden Sicherheits- und Unfallverhütungsvorschriften ebenso wie die dort geltenden Ortsbestimmungen beachten und einhalten.;Der Auftragnehmer stellt sicher, dass seine Beschäftigten die an dem jeweiligen Leistungsort geltenden Sicherheits- und Unfallverhütungsvorschriften ebenso wie die dort geltenden Ortsbestimmungen genauestens beachten und eingehalten werden.;neutral
1035;Der Betroffene ist vorab über die Verwendung seiner Daten für Zwecke der Werbung zu informieren.;Der Betroffene ist über die Verwendung seiner Daten für Zwecke der Werbung zu informieren.;neutral
1036;Die Mitarbeiter der Mustermann AG dürfen niemals Geschenke oder Bewirtungen annehmen, von denen vernünftigerweise angenommen werden kann, dass sie einen Wert von mehr als 100 USD oder den Gegenwert in der Landeswährung haben, und müssen jeden Versuch einer dritten Partei, ein solches Geschenk oder eine solche Bewirtung zu gewähren, melden.;Darüber hinaus dürfen die Mitarbeiter der Mustermann AG niemals ein Geschenk oder eine Bewirtung von Dritten erbitten oder verlangen, und sie dürfen niemals zulassen, dass ein Geschenk oder eine Bewirtung ihr unabhängiges unternehmerisches Urteilsvermögen beeinflusst.;not_related
1037;Bei ungünstigen Wetterverhältnissen – wie z. B. Gewitter, starkem Wind, Reif- oder Vereisungsgefahr – dürfen Arbeiten in Höhen nicht durchgeführt werden.;Bei ungünstigen Wetterverhältnissen (z. B. Gewitter, starkem Wind, Reif- oder Vereisungsgefahr) dürfen Arbeiten in Höhen nicht durchgeführt werden.;neutral
1038;Der Lieferant muss Gelegenheiten zur Verbesserung der Qualität und Produktivität erkennen und geeignete Projekte zur Verbesserung umsetzen.;Der Lieferant soll Chancen zur Verbesserung der Qualität und Produktivität erkennen und geeignete Projekte zur Verbesserung umsetzen.;neutral
1039;Selbst verursachte Bodenkontamination ist durch die Partnerfirma zu sanieren.;Selbst verursachte Bodenkontamination ist an die Mustermann AG Kontaktperson zu melden und durch die Partnerfirma zu sanieren.;inconsistent
1040;Zu diesem Zweck führt der Lieferant eine Erstmusterprüfung (Produktionsteileabnahmeverfahren) durch und bestätigt die Einhaltung aller Anforderungen gemäß Zeichnungen, Lastenheften, Normen, Spezifikationen, Prüfvorschriften und gesetzlichen Vorschriften.;Der Lieferant führt eine Erstmusterprüfung (Produktionsteilabnahmeverfahren) durch und bestätigt die Einhaltung aller Anforderungen gemäß Zeichnungen, Lastenhefte, Normen, Spezifikationen und gesetzlichen Vorschriften.;inconsistent
1041;Eine Brandwache ist sowohl während als auch für 30 Minuten nach der Arbeit einschließlich aller Pausen zur Verfügung zu stellen.;Eine Brandwache wird für die gesamte Dauer der Arbeiten und für weitere 60 Minuten nach deren Abschluss von der Werksfeuerwehr bereitgestellt (einschließlich der Pausen).;contradiction
1042;Die Verfügbarkeit des IT-Systems darf in Bezug auf Ausfall oder inakzeptable Antwortzeiten weniger als 95 % betragen, ohne dass es zu nennenswerten Beeinträchtigungen (finanzieller Art oder am Image des Unternehmens) kommt.;Die Verfügbarkeit des IT-Systems muss in Bezug auf Ausfall oder inakzeptable Antwortzeiten mindestens 98 % betragen.;contradiction
1043;Der Lieferant verpflichtet sich, ein funktionierendes Projektmanagement bereits in der Planungsphase von Produkten, Abläufen und anderen bereichsübergreifenden Aufgaben zu betreiben.;Der Lieferant verpflichtet sich bereits in der Planungsphase von Produkten, Abläufen und anderen bereichsübergreifenden Aufgaben, ein Projektmanagement anzuwenden.;neutral
